file,segment_id,fs,RPM,position,fault_type,missing_DE,missing_FE,missing_BA,geom_Z,geom_bd,geom_pd,geom_contact_angle_deg
B007_0.mat,0,12000,1796.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,1,12000,1796.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,2,12000,1796.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,3,12000,1796.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,4,12000,1796.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,5,12000,1796.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,6,12000,1796.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,7,12000,1796.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,8,12000,1796.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,9,12000,1796.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,10,12000,1796.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,11,12000,1796.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,12,12000,1796.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,13,12000,1796.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,14,12000,1796.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,0,12000,1796.0,FE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,1,12000,1796.0,FE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,2,12000,1796.0,FE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,3,12000,1796.0,FE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,4,12000,1796.0,FE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,5,12000,1796.0,FE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,6,12000,1796.0,FE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,7,12000,1796.0,FE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,8,12000,1796.0,FE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,9,12000,1796.0,FE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,10,12000,1796.0,FE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,11,12000,1796.0,FE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,12,12000,1796.0,FE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,13,12000,1796.0,FE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,14,12000,1796.0,FE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,0,12000,1796.0,BA,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,1,12000,1796.0,BA,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,2,12000,1796.0,BA,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,3,12000,1796.0,BA,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,4,12000,1796.0,BA,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,5,12000,1796.0,BA,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,6,12000,1796.0,BA,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,7,12000,1796.0,BA,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,8,12000,1796.0,BA,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,9,12000,1796.0,BA,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,10,12000,1796.0,BA,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,11,12000,1796.0,BA,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,12,12000,1796.0,BA,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,13,12000,1796.0,BA,UNK,False,False,False,9,0.2858,1.245,0.0
B007_0.mat,14,12000,1796.0,BA,UNK,False,False,False,9,0.2858,1.245,0.0
B007_1.mat,0,12000,1772.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_1.mat,1,12000,1772.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_1.mat,2,12000,1772.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_1.mat,3,12000,1772.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_1.mat,4,12000,1772.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_1.mat,5,12000,1772.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
B007_1.mat,6,12000,1772.0,DE,UNK,False,False,False,9,0.2858,1.245,0.0
